"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.wrongwrong.main.deser.A_1P_Ctor.missing","ss",1,10,28.409825,1.166210,"ms/op"
"org.wrongwrong.main.deser.A_1P_Ctor.present","ss",1,10,25.266406,0.988691,"ms/op"
"org.wrongwrong.main.deser.A_1P_Func.missing","ss",1,10,42.358292,2.956707,"ms/op"
"org.wrongwrong.main.deser.A_1P_Func.present","ss",1,10,38.999724,1.315629,"ms/op"
"org.wrongwrong.main.deser.E_5P_Ctor.missing","ss",1,10,29.091892,1.167266,"ms/op"
"org.wrongwrong.main.deser.E_5P_Ctor.present","ss",1,10,26.757681,0.441978,"ms/op"
"org.wrongwrong.main.deser.E_5P_Func.missing","ss",1,10,42.872732,0.775917,"ms/op"
"org.wrongwrong.main.deser.E_5P_Func.present","ss",1,10,40.913210,1.645021,"ms/op"
"org.wrongwrong.main.deser.T_20P_Ctor.missing","ss",1,10,36.651562,1.530106,"ms/op"
"org.wrongwrong.main.deser.T_20P_Ctor.present","ss",1,10,33.065554,1.338366,"ms/op"
"org.wrongwrong.main.deser.T_20P_Func.missing","ss",1,10,49.266545,1.637038,"ms/op"
"org.wrongwrong.main.deser.T_20P_Func.present","ss",1,10,47.377991,1.309477,"ms/op"
