"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.wrongwrong.main.deser.A_1P_Ctor.missing","ss",1,10,27.686620,2.855826,"ms/op"
"org.wrongwrong.main.deser.A_1P_Ctor.present","ss",1,10,26.509678,2.962978,"ms/op"
"org.wrongwrong.main.deser.A_1P_Func.missing","ss",1,10,29.403608,2.972127,"ms/op"
"org.wrongwrong.main.deser.A_1P_Func.present","ss",1,10,25.457671,1.174946,"ms/op"
"org.wrongwrong.main.deser.E_5P_Ctor.missing","ss",1,10,30.969504,2.382018,"ms/op"
"org.wrongwrong.main.deser.E_5P_Ctor.present","ss",1,10,28.031742,2.222061,"ms/op"
"org.wrongwrong.main.deser.E_5P_Func.missing","ss",1,10,31.137014,2.693635,"ms/op"
"org.wrongwrong.main.deser.E_5P_Func.present","ss",1,10,28.336485,2.787938,"ms/op"
"org.wrongwrong.main.deser.T_20P_Ctor.missing","ss",1,10,35.050423,1.370425,"ms/op"
"org.wrongwrong.main.deser.T_20P_Ctor.present","ss",1,10,32.437574,1.456918,"ms/op"
"org.wrongwrong.main.deser.T_20P_Func.missing","ss",1,10,36.507156,2.551581,"ms/op"
"org.wrongwrong.main.deser.T_20P_Func.present","ss",1,10,34.144510,1.364512,"ms/op"
