"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.wrongwrong.main.deser.A_1P_Ctor.missing","thrpt",1,9,578013.715688,13996.569666,"ops/s"
"org.wrongwrong.main.deser.A_1P_Ctor.present","thrpt",1,9,903008.184561,28231.760806,"ops/s"
"org.wrongwrong.main.deser.A_1P_Func.missing","thrpt",1,9,565532.872568,11988.064019,"ops/s"
"org.wrongwrong.main.deser.A_1P_Func.present","thrpt",1,9,850900.021437,6070.864261,"ops/s"
"org.wrongwrong.main.deser.E_5P_Ctor.missing","thrpt",1,9,225134.573936,6702.985941,"ops/s"
"org.wrongwrong.main.deser.E_5P_Ctor.present","thrpt",1,9,444218.001414,4902.283818,"ops/s"
"org.wrongwrong.main.deser.E_5P_Func.missing","thrpt",1,9,213243.997910,4606.352823,"ops/s"
"org.wrongwrong.main.deser.E_5P_Func.present","thrpt",1,9,436690.270441,16546.670759,"ops/s"
"org.wrongwrong.main.deser.T_20P_Ctor.missing","thrpt",1,9,62901.959790,1451.801635,"ops/s"
"org.wrongwrong.main.deser.T_20P_Ctor.present","thrpt",1,9,143752.272179,7611.610635,"ops/s"
"org.wrongwrong.main.deser.T_20P_Func.missing","thrpt",1,9,60616.149921,526.471474,"ops/s"
"org.wrongwrong.main.deser.T_20P_Func.present","thrpt",1,9,142199.708356,2347.813667,"ops/s"
